"id","fqdn/ip","port","severity","finding","cve","cwe"
"clientsimulation-java1102","www.economie.gouv.fr/141.101.90.98","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java1703","www.economie.gouv.fr/141.101.90.98","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","www.economie.gouv.fr/141.101.90.98","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-libressl_283","www.economie.gouv.fr/141.101.90.98","443","INFO","TLSv1.2 ECDHE-RSA-CHACHA20-POLY1305","",""
"clientsimulation-openssl_102e","www.economie.gouv.fr/141.101.90.98","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_110l","www.economie.gouv.fr/141.101.90.98","443","INFO","TLSv1.2 ECDHE-RSA-CHACHA20-POLY1305","",""
"clientsimulation-openssl_111d","www.economie.gouv.fr/141.101.90.98","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_303","www.economie.gouv.fr/141.101.90.98","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","www.economie.gouv.fr/141.101.90.98","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-thunderbird_91_9","www.economie.gouv.fr/141.101.90.98","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"rating_spec","www.economie.gouv.fr/141.101.90.98","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","www.economie.gouv.fr/141.101.90.98","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","www.economie.gouv.fr/141.101.90.98","443","INFO","100","",""
"protocol_support_score_weighted","www.economie.gouv.fr/141.101.90.98","443","INFO","30","",""
"key_exchange_score","www.economie.gouv.fr/141.101.90.98","443","INFO","90","",""
"key_exchange_score_weighted","www.economie.gouv.fr/141.101.90.98","443","INFO","27","",""
"cipher_strength_score","www.economie.gouv.fr/141.101.90.98","443","INFO","60","",""
"cipher_strength_score_weighted","www.economie.gouv.fr/141.101.90.98","443","INFO","24","",""
"final_score","www.economie.gouv.fr/141.101.90.98","443","INFO","81","",""
"overall_grade","www.economie.gouv.fr/141.101.90.98","443","OK","A+","",""
